Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
10,HIGH SCHOOL FOR ENERGY AND TEC,SCA IEH,Construction,Complete,08/15/2017,IEH,09/23/2017
10,P.S. 207 - BRONX,DIIT - RESOA,Purch & Install,Complete,06/14/2017,07/14/2017,10/23/2017
10,P.S. 226 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/08/2017,01/15/2018,08/03/2017
10,P.S. 246 - BRONX,SCA CIP,Scope,Complete,07/31/2012,10/16/2013,02/06/2014
10,P.S. 246 - BRONX,SCA CIP,Design,Complete,03/19/2014,08/18/2014,12/03/2014
10,P.S. 246 - BRONX,SCA CIP,Construction,In-Progress,07/08/2016,12/24/2018,
10,P.S. 246 - BRONX,SCA CIP,"CM, F&E",In-Progress,07/08/2016,12/24/2018,
10,P.S. 246 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
10,P.S. 246 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,P.S. 246 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,P.S. 246 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,P.S. 246 - BRONX,DIIT - Project Conne,Purch & Install,In-Progress,07/01/2016,07/01/2017,
10,P.S. 315 - BRONX,SCA IEH,Construction,Complete,01/03/2017,IEH,07/01/2017
10,P.S. 315 - BRONX,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
11,X012 SPED - BRONX,SCA CIP,Scope,Complete,03/23/2016,08/05/2016,03/08/2017
11,X012 SPED - BRONX,SCA CIP,Design,Complete,04/04/2017,09/01/2017,11/28/2017
11,X012 SPED - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,X012 SPED - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,P.S. 19 - BRONX,SCA Capacity,Scope,Complete,05/23/2016,09/16/2016,09/20/2016
11,P.S. 19 - BRONX,SCA Capacity,Design,Complete,09/21/2016,03/27/2017,05/11/2017
11,P.S. 19 - BRONX,SCA Capacity,Construction,In-Progress,07/10/2017,09/01/2020,
11,P.S. 19 - BRONX,SCA Capacity,"CM,Art,F&E",In-Progress,07/10/2017,09/01/2020,
11,P.S. 19 - BRONX,DIIT - RESOA,Purch & Install,Complete,06/07/2017,07/07/2017,10/05/2017
11,P.S. 21 - BRONX,SCA IEH,Construction,In-Progress,12/06/2017,IEH,
11,P.S. 21 - BRONX,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,10/20/2017
11,P.S. 41 - BRONX,SCA CIP,Scope,Complete,07/12/2013,12/13/2013,01/31/2014
11,P.S. 41 - BRONX,SCA CIP,Design,Complete,02/12/2014,07/15/2014,02/15/2017
11,P.S. 41 - BRONX,SCA CIP,Construction,In-Progress,05/08/2017,09/19/2018,
11,P.S. 41 - BRONX,SCA CIP,"CM, F&E",In-Progress,05/08/2017,09/19/2018,
11,P.S. 41 - BRONX,SCA IEH,Construction,In-Progress,08/15/2017,IEH,
11,P.S. 41 - BRONX,SCA IEH,Construction,Complete,10/10/2017,IEH,11/25/2017
11,P.S. 41 - BRONX,DOE- RESOA,Construction,In-Progress,08/01/2017,DOER,
11,P.S. 41 - BRONX,DOE - Skilled Trades,Construction,In-Progress,07/25/2017,DOES,
11,P.S. 68 - BRONX,SCA CIP,Scope,Complete,08/28/2015,04/25/2016,02/09/2016
11,P.S. 68 - BRONX,SCA CIP,Design,Complete,05/18/2016,10/19/2016,12/08/2016
11,P.S. 68 - BRONX,SCA CIP,Construction,In-Progress,06/05/2017,09/07/2018,
11,P.S. 68 - BRONX,SCA CIP,"CM, F&E",In-Progress,06/05/2017,09/07/2018,
11,P.S. 68 - BRONX,SCA IEH,Construction,Complete,06/20/2017,IEH,08/19/2017
11,P.S. 68 - BRONX,DOE - Skilled Trades,Construction,In-Progress,09/07/2017,DOES,
11,P.S. 76 - BRONX,SCA IEH,Construction,In-Progress,09/20/2017,IEH,
11,P.S. 78 - BRONX,DOE - Lead Paint,Construction,Complete,02/07/2017,DOEL,04/05/2017
11,P.S. 83 - BRONX,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,10/24/2017
11,P.S. 83 - BRONX,DOE - Skilled Trades,Construction,In-Progress,10/04/2016,DOES,
11,P.S. 87 - BRONX,SCA CIP,Scope,Complete,02/07/2017,06/22/2017,06/20/2017
11,P.S. 87 - BRONX,SCA CIP,Design,In-Progress,10/18/2017,03/23/2018,
11,P.S. 87 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,P.S. 87 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,P.S. 89 - BRONX,SCA CIP,Scope,In-Progress,12/18/2017,05/04/2018,
11,P.S. 89 - BRONX,SCA CIP,Design,PNS,PNS,PNS,PNS
11,P.S. 89 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,P.S. 89 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,P.S. 89 - BRONX,DOE- RESOA,Construction,In-Progress,04/06/2017,DOER,
11,P.S. 97 - BRONX,SCA Capacity,Scope,Complete,02/09/2017,07/03/2017,07/28/2017
11,P.S. 97 - BRONX,SCA Capacity,Design,In-Progress,07/31/2017,02/12/2018,
11,P.S. 97 - BRONX,SCA Capacity,Construction,PNS,PNS,PNS,PNS
11,P.S. 97 - BRONX,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
11,P.S. 97 - BRONX,SCA Capacity,Scope,Complete,10/23/2017,10/23/2017,10/23/2017
11,P.S. 97 - BRONX,SCA Capacity,Design,In-Progress,10/23/2017,12/22/2017,
11,P.S. 97 - BRONX,SCA Capacity,Construction,PNS,PNS,PNS,PNS
11,P.S. 97 - BRONX,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
11,P.S. 97 ADDITION - BRONX,SCA CIP,Scope,Complete,01/03/2017,01/03/2017,01/03/2017
11,P.S. 97 ADDITION - BRONX,SCA CIP,Design,Complete,01/04/2017,06/05/2017,07/19/2017
11,P.S. 97 ADDITION - BRONX,SCA CIP,Construction,In-Progress,11/28/2017,04/27/2018,
11,P.S. 97 ADDITION - BRONX,SCA CIP,"CM, F&E",In-Progress,11/28/2017,04/27/2018,
11,P.S. 97 - BRONX,SCA IEH,Construction,Complete,08/30/2017,IEH,12/02/2017
11,P.S. 103 - BRONX,SCA CIP,Scope,Complete,05/09/2017,11/09/2017,12/18/2017
11,P.S. 103 - BRONX,SCA CIP,Design,PNS,PNS,PNS,PNS
11,P.S. 103 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,P.S. 103 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,P.S. 103 - BRONX,SCA IEH,Construction,Complete,02/27/2017,IEH,08/17/2017
11,P.S. 103 - BRONX,SCA IEH,Construction,In-Progress,11/06/2017,IEH,
11,P.S. 105 - BRONX,SCA CIP,Scope,Complete,08/11/2014,12/29/2014,12/17/2014
11,P.S. 105 - BRONX,SCA CIP,Design,Complete,04/07/2015,09/04/2015,10/07/2015
11,P.S. 105 - BRONX,SCA CIP,Construction,In-Progress,05/15/2017,11/05/2018,
11,P.S. 105 - BRONX,SCA CIP,"CM, F&E",In-Progress,05/15/2017,11/05/2018,
11,P.S. 105 - BRONX,SCA IEH,Construction,In-Progress,03/02/2016,IEH,
11,P.S. 105 - BRONX,Trust For Public Lan,Scope,PNS,PNS,PNS,PNS
11,P.S. 105 - BRONX,Trust For Public Lan,Design,PNS,PNS,PNS,PNS
11,P.S. 105 - BRONX,Trust For Public Lan,Construction,PNS,PNS,PNS,PNS
11,P.S. 105 - BRONX,Trust For Public Lan,F&E,PNS,PNS,PNS,PNS
11,P.S. 106 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/16/2017,01/15/2018,09/18/2017
11,P.S. 108 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/15/2017,01/15/2018,08/03/2017
11,P.S. 111 - BRONX,SCA CIP RESOA,Scope,Complete,03/01/2016,06/29/2016,05/20/2016
11,P.S. 111 - BRONX,SCA CIP RESOA,Design,Complete,06/17/2016,11/18/2016,11/30/2016
11,P.S. 111 - BRONX,SCA CIP RESOA,Construction,In-Progress,06/23/2017,03/19/2018,
11,P.S. 111 - BRONX,SCA CIP RESOA,"CM, F&E",In-Progress,06/23/2017,03/19/2018,
11,P.S. 111 - BRONX,SCA CIP RESOA,Scope,Complete,03/03/2017,07/03/2017,06/27/2017
11,P.S. 111 - BRONX,SCA CIP RESOA,Design,In-Progress,08/09/2017,12/27/2017,
11,P.S. 111 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
11,P.S. 111 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
11,P.S. 111 - BRONX,DOE- RESOA,Construction,In-Progress,07/06/2016,DOER,
11,P.S. 112 - BRONX,SCA CIP,Scope,Complete,07/01/2014,12/03/2014,08/12/2014
11,P.S. 112 - BRONX,SCA CIP,Design,Complete,09/02/2014,02/05/2015,04/02/2015
11,P.S. 112 - BRONX,SCA CIP,Construction,In-Progress,02/28/2017,08/21/2018,
11,P.S. 112 - BRONX,SCA CIP,"CM, F&E",In-Progress,02/28/2017,08/21/2018,
11,P.S. 112 - BRONX,SCA IEH,Construction,Complete,07/19/2017,IEH,12/17/2017
11,P.S. 112 - BRONX,SCA IEH,Construction,Complete,09/21/2017,IEH,09/30/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP,Scope,Complete,04/25/2017,07/25/2017,05/30/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP,Design,Complete,07/13/2017,01/18/2018,10/04/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,THE FORWARD SCHOOL - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,Scope,Complete,06/21/2017,10/20/2017,10/02/2017
11,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,Design,In-Progress,10/02/2017,04/02/2018,
11,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,THE YOUNG SCHOLARS ACADEMY - B,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,SCHOOL OF DIPLOMACY,SCA CIP RESOA,Scope,Complete,02/10/2016,05/25/2016,09/27/2016
11,SCHOOL OF DIPLOMACY,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
11,SCHOOL OF DIPLOMACY,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
11,SCHOOL OF DIPLOMACY,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Scope,Complete,08/31/2016,12/27/2016,05/01/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Design,Complete,05/01/2017,09/20/2017,08/15/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
11,M.S./H.S. 272 - BRONX,SCA CIP RESOA,Scope,Complete,08/31/2016,01/05/2017,05/01/2017
3,WADLEIGH SECONDARY SCHOOL FOR,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 241 - MANHATTAN,SCA CIP,Scope,Complete,07/17/2013,12/18/2013,12/20/2013
3,P.S. 241 - MANHATTAN,SCA CIP,Design,Complete,01/08/2014,06/10/2014,09/26/2014
3,P.S. 241 - MANHATTAN,SCA CIP,Construction,In-Progress,03/21/2016,06/13/2017,
3,P.S. 241 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,03/21/2016,06/13/2017,
3,P.S. 241 - MANHATTAN,SCA CIP,Scope,Complete,04/25/2014,09/10/2014,10/17/2014
3,P.S. 241 - MANHATTAN,SCA CIP,Design,Complete,04/01/2015,08/31/2015,08/15/2016
3,P.S. 241 - MANHATTAN,SCA CIP,Construction,In-Progress,10/21/2016,08/16/2017,
3,P.S. 241 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,10/21/2016,08/16/2017,
3,P.S. 241 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 241 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 241 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 241 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 333 - MANHATTAN,SCA CIP,Scope,Complete,02/13/2013,06/28/2013,08/23/2013
3,P.S. 333 - MANHATTAN,SCA CIP,Design,Complete,09/25/2013,03/03/2014,03/27/2014
3,P.S. 333 - MANHATTAN,SCA CIP,Construction,In-Progress,08/19/2016,05/10/2018,
3,P.S. 333 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,08/19/2016,05/10/2018,
3,P.S. 333 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 333 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 333 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 333 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 333 - MANHATTAN,SCA IEH,Construction,Complete,04/03/2017,IEH,07/13/2017
3,I.S. 258 - MANHATTAN,DOE- RESOA,Construction,In-Progress,03/10/2017,DOER,
3,P.S. 333 - MANHATTAN,DOE- RESOA,Construction,In-Progress,02/17/2017,DOER,
3,I.S. 258 - MANHATTAN,DOE- RESOA,Construction,In-Progress,08/18/2017,DOER,
3,P.S. 242 - MANHATTAN,SCA CIP,Scope,In-Progress,12/21/2017,05/24/2018,
3,P.S. 242 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
3,P.S. 242 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
3,P.S. 242 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 145 - MANHATTAN,SCA CIP,Scope,Complete,06/24/2013,11/25/2013,08/23/2013
3,P.S. 145 - MANHATTAN,SCA CIP,Design,Complete,09/20/2013,02/26/2014,01/31/2014
3,P.S. 145 - MANHATTAN,SCA CIP,Construction,In-Progress,06/27/2014,09/19/2015,
3,P.S. 145 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,06/27/2014,09/19/2015,
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP,Scope,Complete,08/14/2017,10/20/2017,09/28/2017
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP,Design,In-Progress,09/28/2017,02/02/2018,
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,Scope,Complete,02/05/2015,06/08/2015,04/02/2015
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,Design,In-Progress,02/01/2017,07/03/2017,
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,WEST PREP ACADEMY - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 145 - MANHATTAN,SCA CIP RESOA,Scope,Complete,05/08/2017,09/08/2017,08/23/2017
3,P.S. 145 - MANHATTAN,SCA CIP RESOA,Design,In-Progress,08/23/2017,02/23/2018,
3,P.S. 145 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 145 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 145 - MANHATTAN,SCA IEH,Construction,Complete,05/31/2017,IEH,12/31/2017
3,M811 SPED - MANHATTAN,SCA CIP RESOA,Scope,Complete,02/06/2017,04/06/2017,03/06/2017
3,M811 SPED - MANHATTAN,SCA CIP RESOA,Design,Complete,03/07/2017,07/20/2017,05/10/2017
3,M811 SPED - MANHATTAN,SCA CIP RESOA,Construction,Complete,06/27/2017,12/23/2017,12/12/2017
3,M811 SPED - MANHATTAN,SCA CIP RESOA,"CM, F&E",Complete,06/27/2017,12/23/2017,12/12/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,05/23/2017,IEH,08/21/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,06/06/2017,IEH,10/03/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,07/14/2017,IEH,07/16/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,07/28/2017,IEH,09/03/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,08/29/2017,IEH,08/31/2017
3,P.S. 149 - MANHATTAN,SCA IEH,Construction,Complete,08/29/2017,IEH,12/09/2017
3,M811 SPED - MANHATTAN,Fast Track Projects,Construction,Complete,07/21/2017,FTK,08/03/2017
3,P.S. 163 - MANHATTAN,SCA CIP,Scope,Complete,10/29/2015,02/22/2016,01/27/2016
3,P.S. 163 - MANHATTAN,SCA CIP,Design,Complete,03/08/2016,08/05/2016,06/27/2016
3,P.S. 163 - MANHATTAN,SCA CIP,Construction,In-Progress,06/22/2017,03/18/2018,
3,P.S. 163 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,06/22/2017,03/18/2018,
3,P.S. 158 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 158 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 158 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 158 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 163 - MANHATTAN,SCA IEH,Construction,Complete,02/27/2017,IEH,07/22/2017
3,P.S. 165 - MANHATTAN,SCA CIP,Scope,Complete,10/30/2013,03/20/2014,03/20/2014
3,P.S. 165 - MANHATTAN,SCA CIP,Design,Complete,04/25/2014,09/25/2014,12/22/2014
3,P.S. 165 - MANHATTAN,SCA CIP,Construction,In-Progress,07/14/2015,10/05/2016,
3,P.S. 165 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,07/14/2015,10/05/2016,
3,I.S. 862 - MANHATTAN,SCA CIP RESOA,Scope,Complete,07/19/2016,11/02/2016,11/04/2016
3,I.S. 862 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,I.S. 862 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,I.S. 862 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 165 - MANHATTAN,DIIT - RESOA,Purch & Install,In-Progress,06/07/2017,07/07/2017,
3,P.S. 165 - MANHATTAN,DOE - Lead Paint,Construction,Complete,03/01/2017,DOEL,06/05/2017
3,P.S. 165 - MANHATTAN,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 165 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
3,P.S. 166 - MANHATTAN,SCA CIP,Scope,In-Progress,09/29/2017,02/20/2018,
3,P.S. 166 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,SCA IEH,Construction,Complete,08/23/2017,IEH,08/24/2017
3,P.S. 166 - MANHATTAN,SCA IEH,Construction,Complete,08/30/2017,IEH,11/29/2017
3,P.S. 166 - MANHATTAN,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 166 - MANHATTAN,DOE- RESOA,Construction,In-Progress,07/31/2017,DOER,
3,P.S. 180 - MANHATTAN,SCA IEH,Construction,Complete,03/22/2016,IEH,07/14/2017
3,P.S. 180 - MANHATTAN,SCA IEH,Construction,Complete,10/06/2017,IEH,12/09/2017
3,P.S. 180 - MANHATTAN,DOE- RESOA,Construction,In-Progress,07/10/2017,DOER,
3,P.S. 185 - MANHATTAN,SCA CIP,Scope,Complete,03/01/2016,05/27/2016,05/25/2016
3,P.S. 185 - MANHATTAN,SCA CIP,Design,Complete,08/19/2016,01/09/2017,01/27/2017
3,P.S. 185 - MANHATTAN,SCA CIP,Construction,In-Progress,09/18/2017,09/17/2018,
3,P.S. 185 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,09/18/2017,09/17/2018,
3,P.S. 185 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
3,THE RIVERSIDE SCHOOL FOR MAKER,SCA CIP RESOA,Scope,Complete,01/30/2017,03/28/2017,03/23/2017
3,THE RIVERSIDE SCHOOL FOR MAKER,SCA CIP RESOA,Design,Complete,03/23/2017,08/07/2017,05/12/2017
3,THE RIVERSIDE SCHOOL FOR MAKER,SCA CIP RESOA,Construction,Complete,06/23/2017,01/18/2018,12/18/2017
3,THE RIVERSIDE SCHOOL FOR MAKER,SCA CIP RESOA,"CM, F&E",Complete,06/23/2017,01/18/2018,12/18/2017
3,P.S. 452 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 452 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 452 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 452 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,THE RIVERSIDE SCHOOL FOR MAKER,DOE - Skilled Trades,Construction,In-Progress,10/12/2016,DOES,
3,P.S. 199 - MANHATTAN,SCA CIP RESOA,Scope,Complete,04/21/2015,09/03/2015,07/30/2015
3,P.S. 199 - MANHATTAN,SCA CIP RESOA,Design,Complete,08/18/2015,01/22/2016,02/02/2016
3,P.S. 199 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 199 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 199 - MANHATTAN,SCA IEH,Construction,In-Progress,11/24/2017,IEH,
3,P.S. 199 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,07/19/2017,DOES,
3,P.S. 149 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 149 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 149 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 149 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,THE RIVERSIDE SCHOOL - M,SCA Capacity,Scope,Complete,04/21/2011,09/02/2011,09/26/2011
3,THE RIVERSIDE SCHOOL - M,SCA Capacity,Design,Complete,09/27/2011,03/15/2012,12/31/2015
3,THE RIVERSIDE SCHOOL - M,SCA Capacity,Construction,In-Progress,06/17/2016,09/01/2017,
3,THE RIVERSIDE SCHOOL - M,SCA Capacity,"CM,Art,F&E",In-Progress,06/17/2016,09/01/2017,
3,URBAN ASSEMBLY SCHOOL,SCA CIP,Scope,Complete,05/20/2013,09/20/2013,11/04/2013
3,URBAN ASSEMBLY SCHOOL,SCA CIP,Design,Complete,11/13/2013,05/15/2014,10/27/2014
11,M.S./H.S. 272 - BRONX,SCA CIP RESOA,Design,Complete,05/01/2017,09/14/2017,05/16/2017
11,M.S./H.S. 272 - BRONX,SCA CIP RESOA,Construction,In-Progress,06/28/2017,12/24/2017,
11,M.S./H.S. 272 - BRONX,SCA CIP RESOA,"CM, F&E",In-Progress,06/28/2017,12/24/2017,
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Scope,Complete,01/19/2017,03/20/2017,04/06/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Design,Complete,04/06/2017,09/06/2017,05/15/2017
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
11,THE FORWARD SCHOOL - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
11,COMMUNITY BASED ORGANIZATION -,SCA IEH,Construction,Complete,10/12/2017,IEH,10/27/2017
11,THE FORWARD SCHOOL - BRONX,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
11,P.S. 121 - BRONX,SCA IEH,Construction,Complete,03/07/2017,IEH,07/07/2017
11,P.S. 121 - BRONX,SCA IEH,Construction,In-Progress,12/06/2017,IEH,
11,P.S. 121 - BRONX,DIIT - RESOA,Purch & Install,Complete,04/19/2017,01/15/2018,09/07/2017
11,P.S. 121 - BRONX,DIIT - RESOA,Purch & Install,Complete,04/19/2017,01/15/2018,09/07/2017
11,P.S. 121 - BRONX,DIIT - RESOA,Purch & Install,Complete,04/19/2017,01/15/2018,09/07/2017
11,I.S. 127 - BRONX,SCA CIP,Scope,Complete,02/12/2015,06/29/2015,06/16/2015
11,I.S. 127 - BRONX,SCA CIP,Design,Complete,08/05/2015,01/26/2016,07/26/2017
11,I.S. 127 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP,Scope,Complete,04/26/2017,09/11/2017,08/18/2017
11,I.S. 127 - BRONX,SCA CIP,Design,In-Progress,10/04/2017,03/12/2018,
11,I.S. 127 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
11,I.S. 127 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
11,I.S. 322 - BRONX,SCA CIP,Scope,Complete,06/04/2014,10/02/2014,09/04/2014
11,I.S. 322 - BRONX,SCA CIP,Design,Complete,07/17/2015,12/18/2015,11/23/2015
11,I.S. 322 - BRONX,SCA CIP,Construction,Complete,07/18/2016,01/08/2018,12/19/2017
11,I.S. 322 - BRONX,SCA CIP,"CM, F&E",Complete,07/18/2016,01/08/2018,12/19/2017
11,I.S. 556 - BRONX,SCA IEH,Construction,Complete,04/24/2017,IEH,07/22/2017
11,I.S. 556 - BRONX,SCA IEH,Construction,In-Progress,12/01/2017,IEH,
11,PELHAM ACADEMY OF ACADEMICS AN,DIIT - RESOA,Purch & Install,In-Progress,12/26/2017,01/25/2018,
11,I.S. 529 - BRONX,SCA CIP,Scope,Complete,09/12/2017,01/11/2018,09/29/2017
