Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
3,P.S. 334 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 334 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 334 - MANHATTAN,SCA IEH,Construction,Complete,08/31/2017,IEH,09/01/2017
3,I.S. 54 - MANHATTAN,SCA CIP,Scope,Complete,07/02/2014,11/18/2014,10/28/2014
3,I.S. 54 - MANHATTAN,SCA CIP,Design,Complete,12/03/2014,05/06/2015,07/14/2015
3,I.S. 54 - MANHATTAN,SCA CIP,Construction,In-Progress,10/19/2016,07/15/2017,
3,I.S. 54 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,10/19/2016,07/15/2017,
3,I.S. 54 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
3,P.S. 75 - MANHATTAN,SCA CIP,Scope,Complete,07/11/2013,12/12/2013,02/14/2014
3,P.S. 75 - MANHATTAN,SCA CIP,Design,Complete,02/18/2014,07/18/2014,07/25/2014
3,P.S. 75 - MANHATTAN,SCA CIP,Construction,In-Progress,06/13/2016,09/05/2017,
3,P.S. 75 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,06/13/2016,09/05/2017,
3,P.S. 75 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 75 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 75 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 75 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 75 - MANHATTAN,Fast Track Projects,Construction,In-Progress,10/05/2015,FTK,
3,P.S. 75 - MANHATTAN,DCAS/NYPA,Construction,Complete,04/02/2015,05/26/2017,05/26/2017
3,P.S. 76 - MANHATTAN,SCA CIP RESOA,Scope,Complete,03/02/2017,06/30/2017,04/04/2017
3,P.S. 76 - MANHATTAN,SCA CIP RESOA,Design,Complete,04/04/2017,09/01/2017,05/12/2017
3,P.S. 76 - MANHATTAN,SCA CIP RESOA,Construction,Complete,06/27/2017,01/22/2018,11/14/2017
3,P.S. 76 - MANHATTAN,SCA CIP RESOA,"CM, F&E",Complete,06/27/2017,01/22/2018,11/14/2017
3,P.S. 76 - MANHATTAN,SCA IEH,Construction,Complete,06/14/2017,IEH,07/22/2017
3,LYFE,SCA CIP,Scope,Complete,07/22/2015,10/22/2015,04/22/2016
3,LYFE,SCA CIP,Design,Complete,04/27/2016,09/27/2016,05/17/2017
3,LYFE,SCA CIP,Construction,In-Progress,08/07/2017,07/08/2018,
3,LYFE,SCA CIP,"CM, F&E",In-Progress,08/07/2017,07/08/2018,
3,I.S. 247 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,I.S. 247 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,I.S. 247 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,I.S. 247 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Scope,Complete,05/22/2013,10/07/2013,08/16/2013
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Design,Complete,04/07/2016,09/07/2016,10/17/2016
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,Construction,In-Progress,12/18/2017,11/12/2018,
3,P.S. 84 - MANHATTAN,SCA CIP RESOA,"CM, F&E",In-Progress,12/18/2017,11/12/2018,
3,P.S. 84 - MANHATTAN,SCA IEH,Construction,Complete,09/21/2017,IEH,12/10/2017
3,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,Purch & Install,In-Progress,11/17/2017,02/01/2018,
3,M.S. M247 DUAL LANGUAGE MIDDLE,DIIT - RESOA,Purch & Install,In-Progress,11/17/2017,02/05/2018,
3,P.S. 87 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 87 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 87 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 87 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 87 - MANHATTAN,SCA IEH,Construction,Complete,08/03/2016,IEH,12/07/2017
3,P.S. 87 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,10/17/2011,DOES,
3,P.S. 87 - MANHATTAN,DOE - Skilled Trades,Construction,Complete,06/29/2017,09/26/2017,09/26/2017
3,P.S. 87 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,06/30/2016,DOES,
3,J.H.S. 860 - MANHATTAN,SCA CIP,Scope,Complete,12/15/2015,04/01/2016,04/22/2016
3,J.H.S. 860 - MANHATTAN,SCA CIP,Design,Complete,04/27/2016,09/27/2016,04/04/2017
3,J.H.S. 860 - MANHATTAN,SCA CIP,Construction,In-Progress,07/24/2017,04/19/2018,
3,J.H.S. 860 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,07/24/2017,04/19/2018,
3,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,Scope,Complete,02/17/2017,06/20/2017,04/20/2017
3,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,Design,Complete,05/17/2017,10/18/2017,12/13/2017
3,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,Construction,PNS,PNS,PNS,PNS
3,WADLEIGH SCNDRY SCHL FOR PERMG,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
3,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,Scope,Complete,08/25/2017,12/26/2017,09/29/2017
3,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,Design,In-Progress,09/29/2017,03/28/2018,
3,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,Construction,PNS,PNS,PNS,PNS
3,WADLEIGH SECONDARY SCHOOL FOR,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Scope,Complete,08/14/2013,09/04/2014,08/22/2014
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Design,Complete,09/11/2014,07/23/2015,06/05/2015
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Construction,In-Progress,05/15/2017,08/07/2018,
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,"CM, F&E",In-Progress,05/15/2017,08/07/2018,
10,BRONX THEATRE HS - BRONX,SCA IEH,Construction,In-Progress,07/17/2017,IEH,
10,BRONX THEATRE HS - BRONX,DOE - Skilled Trades,Construction,In-Progress,09/07/2017,DOES,
10,HIGH SCHOOL FOR ENERGY AND TEC,SCA IEH,Construction,Complete,06/21/2017,IEH,08/01/2017
